id,source,time,view,visible,not_visible,grade,historical_geometry,modern_only,status
SEARCH-old-photo,雅礼中学 2008 校门 上坡 操场 老照片,2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-field,雅礼中学 东塘 操场 下沉 看台 台阶,2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-sina-blog,site:blog.sina.com.cn 雅礼 校园 2007,2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-epoch,雅礼中学 老照片 2006 2010 体育馆 操场,2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-blog-exact,"""雅礼"" ""校门"" site:blog.sina.com.cn",2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-tieba,"""雅礼"" ""校门"" site:tieba.baidu.com",2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-sohu,"""雅礼中学"" ""老校园"" site:sohu.com",2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-netease,"""雅礼中学"" ""老照片"" site:163.com",2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-weibo,"""雅礼中学"" ""校门"" site:weibo.com",2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-school-news,"""雅礼中学"" ""2008"" ""校园"" site:yali.edu.cn",2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-satellite,雅礼中学 东塘 历史 卫星图 2006,2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-baike,雅礼中学 校门 老照片 site:baike.baidu.com,2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
SEARCH-photography,雅礼中学 校园 体育馆 site:500px.com,2026-09-10,search result screening,No adopted calibrated early-period profile,No verified dimensions; irrelevant schools/new campuses not used,R,false,false,"No usable new geometry source; bounded search stopped, not proof of nonexistence"
A-ENTRY,"User Patch03 handover, 2026-09-10",2026-09-10,alumni memory,Entry is uphill and longer/steeper than P02 20m/1m,exact run/rise/breakpoints,A,true,false,reviewed text/user input
A-FIELD,"User Patch03 handover, 2026-09-10",2026-09-10,alumni memory,Field lower than surrounding road and gym side; bounded with barriers,exact depression/access positions,A,true,false,reviewed text/user input
USER-FIELD,User-uploaded 5434e624-3d51-4afc-abdb-def2377cfeeb.png,unknown,field perimeter / four directions,Visible edge/fence and difference between athletic plane and perimeter; late teaching facade excludes literal early-period rendering,"No calibrated vertical datum, exact slope or date",P,true,true,reviewed text/user input
USER-GYM,User-uploaded 194eff35-ee6b-4901-a27f-ed2d16e86c38.png,unknown,gym frontal,"Folded tall shell, recessed windows, front terrace, low entrance steps; left external stair partly visible","No calibrated vertical datum, exact slope or date",P,true,true,reviewed text/user input
USER-GATE,User-uploaded 67d08bc5-8556-49bb-89b6-156b2f9b9801.png,unknown,outside gate inward,"Road recedes inland, doorway and people/vehicle reference scale; perspective uncalibrated","No calibrated vertical datum, exact slope or date",P,true,true,reviewed text/user input
S03-001,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,failed
S03-002,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-003,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-004,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-005,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-006,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-007,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-008,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-009,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-010,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-011,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-012,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-013,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,outside gate inward,Gate/long inward view; same source composition as USER-GATE,No calibrated measurement; no uniquely resolved entrance/field section,P,true,false,downloaded_research_copy
S03-014,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,side-gate alley,Independent narrow side approach; not main entry longitudinal profile,No calibrated measurement; no uniquely resolved entrance/field section,P,true,false,downloaded_research_copy
S03-015,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-016,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-017,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,gym oblique,"Tall folded shell / entrance platform; article credits 2008 graduate, not a guaranteed 2008 capture",No calibrated measurement; no uniquely resolved entrance/field section,P,true,false,downloaded_research_copy
S03-018,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-019,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-020,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,gym frontal,"Front terrace, left stair and folded shell; duplicates user gym composition",No calibrated measurement; no uniquely resolved entrance/field section,P,true,false,downloaded_research_copy
S03-021,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
S03-022,https://k.sina.cn/article_6430641585_17f4bcdb1001003x9v.html,2018-03-13,contact-sheet only,No adopted Patch03 metric/geometry claim; unrelated photo/logo/portrait or insufficient view,No calibrated measurement; no uniquely resolved entrance/field section,R,false,false,downloaded_research_copy
