id,subject,observation,not_established,source_group
C01-001,2006旗台与田径场,旗台局部平台台阶及栏杆可见,整片前庭的绝对标高,Commons_X_Zhou
C02-001,2006足球训练,地面场地与旧主楼同框,无米制高程控制,Commons_X_Zhou
S03-013,主门正面,入口接道路及路缘,整段道路纵坡,Sina2018
S03-014,侧巷,连续铺装和墙根,拍摄年代及实际门位,Sina2018
S03-015,校名石局部,石台局部台阶,历史全校园标高,Sina2018
S03-017,校内主路,树列和连续路面,道路绝对纵坡,Sina2018
S03-020,体育馆入口,通长低台阶和平台,级高与整馆首层标高,Sina2018
S03-022,篮球场,平整硬质运动地面,运动区绝对标高,Sina2018
S03-023,体育区,边界与球场同框,精确边界高差,Sina2018
S03-025,田径场,草地跑道边缘,高机位不等于高度量测,Sina2018
S03-031,食堂,前景明信片与背景入口,虚焦不能确定整栋建筑基底高度,Sina2018
S03-033,科学馆入口,门前铺装及入口,准确级数与级高,Sina2018
S03-035,旧主楼,外墙与楼前位置关系,没有测绘控制点,Sina2018
S03-038,旧主楼楼层后坪,楼层上的后坪可见,不能当成地面广场,Sina2018
S03-047,长雅楼入口,多级入口阶梯和门前空间,6级是H方案非精确计数,Sina2018
S03-048,长雅楼局部,入口与附属体块,不可推导全校绝对标高,Sina2018
S03-049,旧图书馆入口,低台阶与门框,3级和0.15米级高为H,Sina2018
S03-050,后花园,绿化与步道视线,没有证明被用户删除的绿色绕行路,Sina2018
S03-051,后花园局部,绿化遮挡和地表,无完整路线和高程控制,Sina2018
S05-005,体育馆旧馆拼版,形体与周边关系,拼版不算多个独立高程基准,CMIE2023
