from,to,width_m,chainage_m,x,z,surface_H_m,max_slope_H
gate,junction-gym,7,0.000,0.000,0.000,0.0400,0.010741
gate,junction-gym,7,0.500,0.000,0.500,0.0400,0.010741
gate,junction-gym,7,1.000,0.000,1.000,0.0400,0.010741
gate,junction-gym,7,1.500,0.000,1.500,0.0400,0.010741
gate,junction-gym,7,2.000,0.000,2.000,0.0400,0.010741
gate,junction-gym,7,2.500,0.000,2.500,0.0400,0.010741
gate,junction-gym,7,3.000,0.000,3.000,0.0400,0.010741
gate,junction-gym,7,3.500,0.000,3.500,0.0400,0.010741
gate,junction-gym,7,4.000,0.000,4.000,0.0400,0.010741
gate,junction-gym,7,4.500,0.000,4.500,0.0446,0.010741
gate,junction-gym,7,5.000,0.000,5.000,0.0500,0.010741
gate,junction-gym,7,5.500,0.000,5.500,0.0550,0.010741
gate,junction-gym,7,6.000,0.000,6.000,0.0600,0.010741
gate,junction-gym,7,6.500,0.000,6.500,0.0650,0.010741
gate,junction-gym,7,7.000,0.000,7.000,0.0700,0.010741
gate,junction-gym,7,7.500,0.000,7.500,0.0750,0.010741
gate,junction-gym,7,8.000,0.000,8.000,0.0800,0.010741
gate,junction-gym,7,8.500,0.000,8.500,0.0850,0.010741
gate,junction-gym,7,9.000,0.000,9.000,0.0900,0.010741
gate,junction-gym,7,9.500,0.000,9.500,0.0950,0.010741
gate,junction-gym,7,10.000,0.000,10.000,0.1000,0.010741
gate,junction-gym,7,10.500,0.000,10.500,0.1050,0.010741
gate,junction-gym,7,11.000,0.000,11.000,0.1100,0.010741
gate,junction-gym,7,11.500,0.000,11.500,0.1150,0.010741
gate,junction-gym,7,12.000,0.000,12.000,0.1200,0.010741
gate,junction-gym,7,12.500,0.000,12.500,0.1250,0.010741
gate,junction-gym,7,13.000,0.000,13.000,0.1300,0.010741
gate,junction-gym,7,13.500,0.000,13.500,0.1350,0.010741
gate,junction-gym,7,14.000,0.000,14.000,0.1400,0.010741
gate,junction-gym,7,14.500,0.000,14.500,0.1450,0.010741
gate,junction-gym,7,15.000,0.000,15.000,0.1500,0.010741
gate,junction-gym,7,15.500,0.000,15.500,0.1550,0.010741
gate,junction-gym,7,16.000,0.000,16.000,0.1600,0.010741
gate,junction-gym,7,16.500,0.000,16.500,0.1650,0.010741
gate,junction-gym,7,17.000,0.000,17.000,0.1700,0.010741
gate,junction-gym,7,17.500,0.000,17.500,0.1750,0.010741
gate,junction-gym,7,18.000,0.000,18.000,0.1800,0.010741
gate,junction-gym,7,18.500,0.000,18.500,0.1850,0.010741
gate,junction-gym,7,19.000,0.000,19.000,0.1900,0.010741
gate,junction-gym,7,19.500,0.000,19.500,0.1950,0.010741
gate,junction-gym,7,20.000,0.000,20.000,0.2000,0.010741
gate,junction-gym,7,20.500,0.000,20.500,0.2050,0.010741
gate,junction-gym,7,21.000,0.000,21.000,0.2100,0.010741
gate,junction-gym,7,21.500,0.000,21.500,0.2150,0.010741
gate,junction-gym,7,22.000,0.000,22.000,0.2200,0.010741
junction-gym,gym-entry,3,0.000,0.000,22.000,0.2200,0.033606
junction-gym,gym-entry,3,0.495,-0.495,21.998,0.2200,0.033606
junction-gym,gym-entry,3,0.989,-0.989,21.996,0.2200,0.033606
junction-gym,gym-entry,3,1.484,-1.484,21.993,0.2180,0.033606
junction-gym,gym-entry,3,1.978,-1.978,21.991,0.2125,0.033606
junction-gym,gym-entry,3,2.473,-2.473,21.989,0.2038,0.033606
junction-gym,gym-entry,3,2.967,-2.967,21.987,0.1926,0.033606
junction-gym,gym-entry,3,3.462,-3.462,21.985,0.1792,0.033606
junction-gym,gym-entry,3,3.956,-3.956,21.982,0.1643,0.033606
junction-gym,gym-entry,3,4.451,-4.451,21.980,0.1483,0.033606
junction-gym,gym-entry,3,4.945,-4.945,21.978,0.1317,0.033606
junction-gym,gym-entry,3,5.440,-5.440,21.976,0.1151,0.033606
junction-gym,gym-entry,3,5.934,-5.934,21.974,0.0990,0.033606
junction-gym,gym-entry,3,6.429,-6.429,21.971,0.0838,0.033606
junction-gym,gym-entry,3,6.923,-6.923,21.969,0.0700,0.033606
junction-gym,gym-entry,3,7.418,-7.418,21.967,0.0583,0.033606
junction-gym,gym-entry,3,7.912,-7.912,21.965,0.0491,0.033606
junction-gym,gym-entry,3,8.407,-8.407,21.963,0.0428,0.033606
junction-gym,gym-entry,3,8.901,-8.901,21.960,0.0401,0.033606
junction-gym,gym-entry,3,9.396,-9.396,21.958,0.0400,0.033606
junction-gym,gym-entry,3,9.890,-9.890,21.956,0.0400,0.033606
junction-gym,gym-entry,3,10.385,-10.385,21.954,0.0400,0.033606
junction-gym,gym-entry,3,10.879,-10.879,21.952,0.0400,0.033606
junction-gym,gym-entry,3,11.374,-11.374,21.949,0.0400,0.033606
junction-gym,gym-entry,3,11.868,-11.868,21.947,0.0400,0.033606
junction-gym,gym-entry,3,12.363,-12.363,21.945,0.0400,0.033606
junction-gym,gym-entry,3,12.857,-12.857,21.943,0.0400,0.033606
junction-gym,gym-entry,3,13.352,-13.352,21.941,0.0400,0.033606
junction-gym,gym-entry,3,13.846,-13.846,21.938,0.0400,0.033606
junction-gym,gym-entry,3,14.341,-14.341,21.936,0.0400,0.033606
junction-gym,gym-entry,3,14.835,-14.835,21.934,0.0400,0.033606
junction-gym,gym-entry,3,15.330,-15.330,21.932,0.0400,0.033606
junction-gym,gym-entry,3,15.824,-15.824,21.930,0.0400,0.033606
junction-gym,gym-entry,3,16.319,-16.319,21.927,0.0400,0.033606
junction-gym,gym-entry,3,16.813,-16.813,21.925,0.0400,0.033606
junction-gym,gym-entry,3,17.308,-17.308,21.923,0.0400,0.033606
junction-gym,gym-entry,3,17.802,-17.802,21.921,0.0400,0.033606
