facility_id,name,site_grade_H_m,floor_H_m,entry_rise_H_m,measured_m,status
01,主校门,0.000,0.000,0.000,,H_ASSUMED
02,侧门／独立侧路入口,0.000,0.000,0.000,,H_ASSUMED
03,旧体育馆,0.000,0.600,0.600,,H_ASSUMED
04,游泳池,0.000,0.000,0.000,,H_ASSUMED
05,风雨跑道／有顶棚直跑道,0.000,0.000,0.000,,H_ASSUMED
06,六片篮球场,0.000,0.000,0.000,,H_ASSUMED
07,办公楼／医务室线索,0.328,0.328,0.000,,H_ASSUMED
08,田径场／足球坪,0.000,0.000,0.000,,H_ASSUMED
09,林荫道／主路,0.229,0.229,0.000,,H_ASSUMED
10,主席台,0.237,0.238,0.000,,H_ASSUMED
11,食堂,0.200,0.200,0.000,,H_ASSUMED
12,食堂下层小卖部,0.200,0.200,0.000,,H_ASSUMED
13,科学馆,0.450,0.450,0.000,,H_ASSUMED
14,前坪／国旗区,0.300,0.300,0.000,,H_ASSUMED
15,旧主教学楼／教室,0.450,0.450,0.000,,H_ASSUMED
16,校史馆／旧用途线索,0.417,0.417,0.000,,H_ASSUMED
17,长雅楼,0.450,1.350,0.900,,H_ASSUMED
18,旧图书馆,0.450,0.900,0.450,,H_ASSUMED
19,后花园／旋转楼梯,0.450,0.450,0.000,,H_ASSUMED
20,居住／家属区建筑群,0.200,0.200,0.000,,H_ASSUMED
21,信息楼（工作名）,0.450,0.450,0.000,,H_ASSUMED
22,小店线索,,,,,U_UNLOCATED
23,沙坑／操场后缘右端,0.000,0.000,0.000,,H_ASSUMED
24,音乐楼／四层贴体独立体块,0.000,0.600,0.600,,H_ASSUMED
25,主楼左侧相连独栋厕所,0.450,0.450,0.000,,H_ASSUMED
26,池畔旧厕所／小体量,0.000,0.000,0.000,,H_ASSUMED
27,校门图面左侧校名石,0.000,0.000,0.000,,H_ASSUMED
28,体育辅助用房组（工作名）,0.000,0.000,0.000,,H_ASSUMED
