id,name,x_work_m,y_work_m,z_work_m,width_work_m,depth_work_m,height_work_m,survey_verified
01,"主校门",0,0,0,26,4,7,false
02,"侧门／入口侧小路",129,0,184,4,1.2,3,false
03,"旧体育馆",-45,0,45,42,42,15,false
04,"游泳池",-38,0,76,25,12.5,0.25,false
05,"风雨跑道／有顶棚直跑道",-68.5,0,120,7,64,0.1,false
06,"六片篮球场",-37.5,0,120,55,64,0.1,false
07,"办公楼／医务室线索",-45,0,170,42,17,11.4,false
08,"田径场／足球坪",73,0,114,92,140,0.12,false
09,"林荫道／主路",0,0,103,7,206,0.05,false
10,"主席台",19,0,132,6,24,1.2,false
11,"食堂",167,0,152,44,22,10.8,false
12,"食堂下层小卖部",158,0,149,14,10,3.4,false
13,"科学馆",166,0,199,40,16,15.2,false
14,"前坪／国旗区",72,0,198,94,12,0.12,false
15,"旧主教学楼／教室",69,0,224,98,14,15.2,false
16,"校史馆／旧用途线索",-44,0,202,30,13,7.6,false
17,"长雅楼",165,0,258,44,18,19,false
18,"旧图书馆",75,0,253,55,15,11.4,false
19,"后花园／旋转楼梯",76,0,277,82,10,0.12,false
20,"居住／家属区轮廓",166,0,67,54,58,16,false
21,"信息楼（工作名）",166,0,225,42,19,15.2,false
22,"小店线索",,,,,,,false
23,"沙坑／操场后缘右端",108,0,183.5,5.5,3,0.1,false
24,"音乐楼／四层独立体块",-81,0,76,16,12,15.2,false
25,"主楼左侧相连独栋厕所",-10,0,224,6,14.4,15.2,false
26,"池畔旧厕所／小体量",-61,0,80,4.2,3,3,false
27,"校门右侧校名石",17,0,1,2.2,1.7,2.5,false
28,"体育辅助用房组（工作名）",-80,0,118,6,24,3.3,false
